,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Saturday, 27 April 2019",20,200,138,407,170,144,,49,302,261,46,,57,18,79,328,362,,407,46,432,639,42,352,630,832,209,498,15,847,680,10,26,160,25,240,186,1192,115,797,196,274,120,135,318
"Sunday, 28 April 2019",22,181,52,186,99,76,,38,178,203,26,,75,11,67,205,275,,248,48,174,307,19,124,357,441,70,313,10,496,332,4,24,66,13,158,110,744,56,307,138,220,67,56.4,210
"Monday, 29 April 2019",8,352,318,213,449,114,,38,712,531,109,,92,47,216,559,298,,368,15,767,218,15,911,1309,644,89,200,9,1090,1042,12,41,236,30,156,455,1136,219,481,64,69,277,134.4,197
"Tuesday, 30 April 2019",6,474,403,289,485,173,,44,866,598,113,,103,69,222,686,446,,445,5,766,316,25,987,1509,876,130,275,81,1362,1265,22,50,305,39,251,524,1532,282,670,61,145,302,203.6,266
"Wednesday, 1 May 2019",10,468,403,333,500,152,,39,868,589,98,,87,46,220,630,452,,519,18,910,437,55,1041,1519,918,142,305,57,1355,664,21,44,308,53,271,510,1475,250,802,107,135,329,170,305
"Thursday, 2 May 2019",1,467,427,345,504,163,,39,828,598,104,,96,49,210,616,360,,510,13,857,298,33,1019,1449,834,121,358,77,1268,829,16,35,281,42,235,470,1481,246,713,80,132,284,167,245
"Friday, 3 May 2019",11,440,344,383,453,107,,36,759,589,109,,89,42,186,563,314,,441,7,713,285,31,901,1315,745,144,337,39,1288,1328,10,50,257,26,205,448,1480,228,793,88,119,307,152,199
"Saturday, 4 May 2019",24,133,124,380,239,145,,72,330,299,35,,86,39,77,397,400,,408,38,362,634,46,300,627,771,250,363,39,986,881,9,26,170,30,216,202,1360,154,814,226,304,127,131,288
"Sunday, 5 May 2019",13,213,92,430,166,126,,68,299,350,29,,81,23,70,291,442,,412,65,434,675,10,347,791,925,173,482,54,1056,1023,24,47,176,37,288,183,1520,185,889,327,371,125,86,434
"Monday, 6 May 2019",13,394,380,223,535,132,,40,847,597,109,,85,41,197,618,319,,457,5,935,311,39,1077,1477,816,137,253,38,1325,1318,13,49,288,36,244,511,1425,270,644,89,100,303,130,217
"Tuesday, 7 May 2019",8,435,399,324,548,148,,39,957,665,107,,84,50,230,649,441,,462,13,892,320,25,1043,1623,905,112,313,53,1328,1424,13,35,321,43,232,550,1611,266,738,90,145,289,192,240
"Wednesday, 8 May 2019",49,361,374,314,475,117,,37,902,632,113,,96,48,235,699,512,,526,1,896,324,31,1058,1599,850,99,326,54,1321,1399,15,48,293,46,248,531,1507,246,737,118,122,317,141,227
"Thursday, 9 May 2019",10,419,379,356,498,138,,44,834,676,116,,80,43,218,692,442,,480,6,849,301,33,1043,1542,918,134,374,53,1319,1440,23,63,300,37,226,518,1643,278,828,144,134,327,168,267
"Friday, 10 May 2019",10,255,232,205,366,70,,23,547,396,112,,75,38,183,414,267,,322,13,561,163,36,717,893,496,85,367,67,883,1068,9,38,197,27,165,364,979,202,676,68,82,245,126,151
"Saturday, 11 May 2019",36,204,130,408,195,167,,39,306,325,85,,79,36,78,348,363,,415,52,347,687,34,334,748,1026,126,434,82,840,877,7,21,194,32,357,215,1301,207,808,145,351,157,123,333
"Sunday, 12 May 2019",2,118,53,148,67,45,,34,119,146,33,,46,23,50,141,243,,189,15,93,267,4,102,215,317,47,448,47,329,288,16,11,69,12,69,95,572,35,235,53,198,62,36,68
"Monday, 13 May 2019",7,346,285,170,378,92,,26,660,471,94,,70,38,171,482,197,,314,0,621,173,20,792,1126,520,77,243,42,805,951,6,33,211,23,128,373,900,176,462,47,46,235,121,121
"Tuesday, 14 May 2019",6,472,367,292,495,145,,49,890,634,111,,89,50,218,629,408,,495,13,850,292,30,1061,1503,918,109,305,41,1291,1316,22,42,277,42,237,492,1530,254,627,62,130,291,159,244
"Wednesday, 15 May 2019",7,383,365,259,482,133,,36,806,533,121,,85,47,204,572,317,,457,10,781,266,30,934,1266,691,87,331,54,1166,1256,14,36,243,43,202,434,1317,224,580,75,90,316,141,217
"Thursday, 16 May 2019",7,379,352,260,462,98,,28,743,549,109,,79,48,204,577,275,,415,8,722,247,22,848,1297,756,90,233,42,1097,1208,11,36,249,34,185,430,1327,204,564,75,86,266,136,199
"Friday, 17 May 2019",6,318,262,225,366,101,,31,625,439,103,,89,41,204,457,260,,397,8,661,208,31,764,1059,556,137,283,44,894,1097,19,23,219,15,144,401,1036,191,581,65,72,266,158,176
"Saturday, 18 May 2019",12,191,89,361,169,122,,35,293,237,45,,96,34,102,317,347,,331,33,283,602,52,238,598,645,96,494,43,677,710,4,26,155,21,187,162,1019,77,588,160,325,148,88,290
"Sunday, 19 May 2019",22,165,67,212,155,89,,24,225,202,40,,79,23,91,229,210,,313,38,227,312,32,216,464,445,85,411,31,512,516,13,29,127,18,151,126,761,85,417,98,177,109,66,210
"Monday, 20 May 2019",11,363,368,219,487,147,,49,810,577,101,,88,50,204,541,309,,410,3,792,254,23,947,1444,768,121,253,34,1136,1197,10,41,305,43,185,430,1257,223,543,88,64,246,125,175
"Tuesday, 21 May 2019",9,383,392,317,515,162,,33,847,596,127,,74,41,236,594,430,,490,11,861,369,44,1036,1524,955,109,357,27,1246,1316,11,47,323,61,225,479,1440,285,642,119,182,293,169,232
"Wednesday, 22 May 2019",10,386,379,320,493,134,,43,802,616,113,,93,36,201,610,429,,479,1,869,371,31,1017,1499,871,121,332,42,1257,1354,4,41,269,42,266,472,1450,265,600,108,102,303,139,262
"Thursday, 23 May 2019",9,351,358,272,417,151,,56,788,587,116,,91,36,193,585,335,,447,9,827,297,41,931,1404,798,89,345,42,1213,1325,12,43,286,43,218,461,1421,250,669,98,132,294,144,221
"Friday, 24 May 2019",14,331,325,274,418,122,,42,758,547,107,,101,31,189,518,296,,447,6,758,341,33,871,1331,814,96,340,37,1142,1289,8,42,254,46,204,457,1378,248,606,133,162,304,201,230
"Saturday, 25 May 2019",64,154,120,323,186,123,,54,291,329,47,,83,35,71,302,331,,442,39,314,637,57,266,677,887,148,555,46,821,766,10,34,179,44,259,192,1234,127,597,223,383,135,78,368
"Sunday, 26 May 2019",26,290,102,428,164,133,,44,310,351,37,,72,20,56,273,342,,414,65,351,649,32,326,692,1012,120,741,46,1018,909,14,23,183,49,286,197,1358,152,710,248,383,118,79,464
"Monday, 27 May 2019",10,343,307,197,433,101,,36,738,545,90,,90,29,184,533,311,,358,1,782,221,26,919,1387,700,67,294,35,972,1063,12,39,260,32,184,432,1027,216,474,99,85,303,126,210
"Tuesday, 28 May 2019",3,315,307,150,375,81,,18,619,410,95,,77,18,211,466,203,,245,4,693,142,26,754,1056,585,72,183,46,749,895,8,25,203,13,132,384,853,166,397,69,74,235,109,164
"Wednesday, 29 May 2019",18,381,349,294,446,138,,51,785,627,109,,101,43,203,585,444,,433,14,877,345,44,970,1505,826,84,453,36,1198,1280,15,29,268,46,216,491,1470,260,677,143,141,337,175,263
"Thursday, 30 May 2019",16,397,403,307,510,120,,54,826,646,126,,82,43,221,621,429,,463,13,870,345,30,987,1455,764,92,297,42,1191,1273,15,41,305,44,205,449,1364,241,666,115,138,294,140,233
"Friday, 31 May 2019",3,156,143,82,179,57,,14,288,199,80,,73,11,105,236,148,,152,4,310,75,9,363,488,256,55,60,35,460,504,5,11,99,16,67,189,571,103,249,20,17,148,20,61
"Saturday, 1 June 2019",3,74,42,37,69,45,,30,101,74,30,,49,6,34,115,111,9,132,16,132,189,36,68,175,131,31,102,30,175,113,7,13,55,8,59,92,347,26,135,48,40,102,40,81
"Sunday, 2 June 2019",16,174,82,283,139,117,,64,209,246,27,,46,11,39,216,210,16,283,82,324,287,18,286,509,610,69,626,34,707,608,14,24,122,11,192,132,1030,141,610,165,239,128,73,292
"Monday, 3 June 2019",19,195,85,360,176,132,,57,221,299,35,,62,20,49,264,396,23,355,58,543,627,69,323,738,864,80,960,29,971,854,9,29,173,34,311,150,1343,163,801,238,269,103,88,467
"Tuesday, 4 June 2019",3,359,356,269,482,132,,41,763,621,119,,95,38,202,623,341,26,413,10,766,284,36,911,1458,849,118,303,36,1076,1018,8,37,286,37,197,465,1364,237,544,95,107,309,129,204
"Wednesday, 5 June 2019",3,257,201,114,259,49,,8,439,297,96,,60,18,134,325,204,5,217,0,565,141,13,608,859,403,53,96,36,607,568,0,18,180,18,96,277,740,135,315,56,24,202,91,94
"Thursday, 6 June 2019",7,294,291,192,396,91,,29,637,424,103,,73,24,152,459,345,16,339,11,647,224,24,753,1058,589,70,223,32,829,779,14,33,193,35,142,368,1022,166,462,73,84,271,124,180
"Friday, 7 June 2019",2,195,183,113,247,47,,19,460,307,93,,47,21,151,330,194,18,216,3,453,127,18,579,725,328,57,140,37,601,586,6,18,185,18,80,252,730,116,361,31,35,200,105,99
"Saturday, 8 June 2019",5,73,75,89,86,62,,14,147,70,33,,47,7,50,164,121,10,173,3,68,189,16,96,151,118,40,81,38,195,135,5,18,61,11,91,106,357,32,160,54,59,97,40,53
"Sunday, 9 June 2019",26,271,74,418,188,147,,57,250,394,49,,108,50,37,322,394,12,445,28,415,689,12,345,697,1076,83,799,72,983,793,13,35,162,66,309,174,1453,152,813,192,424,111,97,457
"Monday, 10 June 2019",2,387,316,212,441,111,,78,679,557,93,,84,32,220,526,367,21,385,8,816,307,24,933,1372,728,90,250,30,1072,1057,9,42,253,41,185,395,1248,232,546,102,76,289,140,242
"Tuesday, 11 June 2019",3,426,367,275,483,145,,53,792,591,108,,90,35,203,633,476,25,449,15,893,359,31,1049,1452,890,102,402,35,1193,1166,8,45,269,33,252,446,1442,253,617,97,144,314,144,250
"Wednesday, 12 June 2019",0,325,340,212,393,111,,34,693,479,88,,86,32,182,547,332,19,403,4,742,246,25,862,1229,628,79,291,29,921,884,6,35,243,26,166,376,1148,176,526,71,103,251,130,184
"Thursday, 13 June 2019",5,329,340,250,433,126,,58,626,523,111,,110,43,187,488,339,28,348,9,802,299,25,895,1243,630,92,247,36,1038,946,9,45,236,32,200,376,1258,198,541,48,89,270,127,214
"Friday, 14 June 2019",12,256,263,270,358,119,,35,620,474,97,,67,26,170,451,336,26,596,6,630,242,25,795,1076,616,84,299,33,931,875,7,38,226,32,181,354,1244,181,573,102,77,285,143,204
"Saturday, 15 June 2019",8,22,108,234,151,82,,26,252,287,75,,71,15,67,260,306,14,280,43,248,566,24,220,440,620,85,360,45,545,371,12,27,125,46,184,157,876,105,388,114,242,136,66,180
"Sunday, 16 June 2019",19,187,87,324,149,126,,47,192,304,29,,71,25,51,233,383,16,346,57,361,504,14,286,556,854,114,642,46,787,607,12,39,134,25,206,127,1099,174,619,202,348,98,103,308
"Monday, 17 June 2019",7,330,322,182,438,97,,25,617,514,91,,75,37,176,473,290,18,366,19,778,237,16,942,1252,656,70,228,26,940,963,15,25,236,39,172,380,1098,217,451,52,64,264,141,171
"Tuesday, 18 June 2019",7,346,358,234,450,125,,47,729,553,84,,86,36,200,531,465,22,448,10,852,321,43,994,1366,793,104,258,22,1061,1021,10,41,256,50,218,436,1382,236,604,102,122,310,144,206
"Wednesday, 19 June 2019",6,320,345,234,398,117,,38,712,535,96,,91,36,195,528,445,17,424,1,754,318,33,913,1291,744,75,290,27,1096,1040,18,27,235,39,242,386,1433,233,611,112,111,290,131,233
"Thursday, 20 June 2019",1,325,308,218,349,106,,53,615,431,101,,78,36,159,435,298,20,342,4,654,239,41,763,1055,519,79,194,32,809,764,11,43,230,26,131,333,1080,165,484,51,71,237,141,136
"Friday, 21 June 2019",1,239,232,146,284,76,,25,469,349,77,,66,21,142,345,212,13,254,1,584,169,24,698,910,475,73,140,32,672,653,6,27,194,15,121,274,801,161,416,59,48,206,103,154
"Saturday, 22 June 2019",8,96,117,218,128,127,,25,270,240,51,,72,12,66,265,279,22,327,36,258,484,31,212,499,579,88,297,49,698,472,12,24,110,29,235,159,983,63,394,132,279,106,72,223
"Sunday, 23 June 2019",6,97,58,155,71,67,,44,142,116,31,,53,25,48,179,200,4,184,24,141,173,17,131,258,275,57,328,33,332,293,10,19,64,10,110,86,558,93,328,145,124,75,45,146
"Monday, 24 June 2019",5,319,325,243,422,100,,30,650,507,105,,63,31,164,556,292,21,360,8,781,266,30,935,1293,725,100,270,30,960,952,7,35,232,32,197,398,1133,212,568,89,97,270,127,227
"Tuesday, 25 June 2019",0,310,348,247,436,126,,27,722,505,108,,102,35,155,552,425,22,394,6,806,317,35,944,1322,793,81,295,36,1110,1102,8,27,244,36,249,409,1362,236,562,79,152,266,118,208
"Wednesday, 26 June 2019",3,326,332,268,422,122,,31,669,555,98,,84,35,177,567,372,24,418,8,795,304,26,925,1241,721,98,318,37,1123,1063,8,27,254,38,249,418,1263,241,601,71,98,307,139,223
"Thursday, 27 June 2019",7,304,329,292,428,111,,40,611,511,86,,99,36,186,543,321,25,374,7,657,318,38,791,1230,661,79,274,34,1014,956,16,25,218,33,193,395,1231,163,576,87,113,228,127,192
"Friday, 28 June 2019",4,276,288,276,310,96,,24,575,430,70,,89,22,152,444,247,25,375,25,612,301,18,727,1074,591,92,272,43,976,927,8,19,217,20,158,326,1242,164,590,64,101,229,132,190
"Saturday, 29 June 2019",8,102,101,344,170,149,,49,290,262,46,,67,12,71,296,358,10,369,39,305,585,50,235,597,771,71,473,41,819,663,13,35,123,34,295,153,1285,184,630,135,287,129,74,310
"Sunday, 30 June 2019",36,230,73,359,145,120,,36,231,293,28,,87,28,60,262,406,13,338,47,332,538,29,258,638,789,75,685,52,777,666,8,15,112,18,201,142,1221,163,619,207,268,98,73,354
"Monday, 1 July 2019",3,279,282,197,398,97,,19,587,468,67,,82,31,164,466,283,12,333,5,711,272,28,822,1117,598,72,210,44,984,987,9,30,229,28,177,362,1119,178,492,70,61,254,115,183
"Tuesday, 2 July 2019",9,253,302,194,350,88,,33,559,395,89,,93,35,195,449,340,27,265,0,655,249,23,749,1023,553,76,151,29,828,809,13,25,212,41,178,312,1022,188,415,42,56,221,125,178
"Wednesday, 3 July 2019",7,267,282,208,343,89,,40,566,418,68,,70,26,179,462,360,22,345,3,696,255,27,771,1084,575,65,171,44,881,812,7,21,209,29,153,326,1011,189,491,63,43,224,105,165
"Thursday, 4 July 2019",0,158,121,70,178,43,,5,231,211,78,,58,14,107,204,156,5,130,0,354,87,8,397,558,256,46,53,26,417,403,10,13,106,8,51,144,556,99,203,14,13,140,64,60
"Friday, 5 July 2019",13,243,227,197,339,88,,18,513,426,81,,79,24,150,415,251,16,313,9,612,260,17,711,942,501,74,170,48,822,771,8,22,198,31,156,276,976,157,506,62,55,217,107,153
"Saturday, 6 July 2019",30,165,110,287,154,125,,52,264,213,31,,78,27,57,259,315,13,275,22,318,539,46,270,511,680,103,398,57,684,592,18,24,117,18,227,170,1068,134,706,141,299,103,88,243
"Sunday, 7 July 2019",26,173,91,307,144,107,,62,198,290,23,,61,20,64,244,325,14,328,43,269,443,21,229,526,840,82,655,36,828,680,19,45,147,44,245,127,1257,144,560,178,274,71,84,341
"Monday, 8 July 2019",5,268,286,173,339,72,,29,579,408,82,,69,37,177,426,280,11,221,22,690,207,35,825,1102,520,80,238,29,900,868,5,37,204,29,161,350,1029,148,421,89,55,199,93,184
"Tuesday, 9 July 2019",31,301,328,210,369,94,,44,619,444,103,,54,33,169,526,289,11,296,12,712,239,34,817,1121,608,91,237,30,875,795,6,31,232,34,204,329,1159,180,496,76,83,234,143,203
"Wednesday, 10 July 2019",12,286,268,238,351,96,,29,590,446,66,,87,35,176,495,374,19,269,7,744,255,49,819,1091,604,97,351,53,975,951,4,32,193,31,179,308,1152,173,573,113,114,222,110,210
"Thursday, 11 July 2019",12,281,278,226,331,86,,24,603,435,79,,72,33,172,496,259,15,209,14,685,253,21,777,1022,564,107,358,37,970,940,7,31,208,37,175,318,1142,159,578,115,76,243,154,174
"Friday, 12 July 2019",3,196,158,156,200,51,,12,320,241,74,,74,25,115,294,188,7,160,0,388,128,11,438,580,252,56,79,23,499,428,8,15,125,25,59,199,612,71,276,24,46,172,66,92
"Saturday, 13 July 2019",21,199,108,365,165,132,,60,237,300,31,,66,34,62,243,369,17,320,66,374,598,47,284,589,771,159,514,54,831,680,13,30,94,29,248,157,1233,143,728,243,367,142,107,278
"Sunday, 14 July 2019",9,78,41,128,51,47,,10,110,94,38,,51,11,33,135,138,1,191,8,93,179,4,75,171,252,45,146,15,244,144,4,8,56,11,51,57,414,23,159,40,140,75,23,60
"Monday, 15 July 2019",11,261,262,176,346,68,,34,560,419,73,,84,32,171,435,271,17,239,11,700,242,16,722,997,526,82,317,38,881,891,8,27,211,36,163,347,988,143,501,81,66,219,130,224
"Tuesday, 16 July 2019",6,255,207,150,271,68,,12,441,300,80,,53,21,162,360,188,11,148,8,543,171,23,603,767,395,88,133,18,683,646,9,20,179,22,119,275,756,92,373,61,62,184,107,134
"Wednesday, 17 July 2019",7,229,247,157,283,70,,25,489,346,63,,80,39,165,404,217,9,232,6,545,247,21,652,815,367,80,163,36,744,708,5,27,180,20,107,303,802,102,440,44,44,209,121,139
"Thursday, 18 July 2019",23,268,302,238,354,101,,44,583,414,77,,77,36,183,451,271,8,308,27,740,249,28,777,1059,589,94,327,34,892,817,11,29,220,26,188,358,1168,152,520,124,87,250,126,225
"Friday, 19 July 2019",10,174,166,99,181,53,,28,354,209,74,,78,26,142,255,124,2,135,8,353,98,17,410,579,251,48,50,30,444,443,6,8,130,19,60,203,593,68,283,18,23,184,91,87
"Saturday, 20 July 2019",14,43,74,125,95,72,,31,183,159,46,,50,24,48,181,190,1,239,38,154,277,41,171,313,365,75,274,30,454,331,8,19,94,15,131,129,747,40,338,75,130,93,62,122
"Sunday, 21 July 2019",24,221,115,314,149,122,,32,248,330,37,,68,25,61,257,360,11,370,76,344,476,31,247,748,894,101,756,53,813,616,9,42,143,32,301,132,1294,182,593,287,344,117,109,408
"Monday, 22 July 2019",14,334,320,204,447,93,,23,700,560,98,,82,36,183,544,305,29,357,14,805,280,25,898,1307,728,98,254,39,1076,1060,5,36,277,44,222,422,1203,214,555,92,99,276,126,193
"Tuesday, 23 July 2019",4,344,367,293,424,145,,44,763,555,113,,74,36,198,544,309,26,433,6,821,333,27,911,1377,800,109,320,37,1193,1124,13,28,268,41,229,466,1473,217,543,110,122,297,143,250
"Wednesday, 24 July 2019",14,336,365,265,440,105,,37,724,561,98,,92,39,174,554,331,35,420,15,779,267,27,890,1312,757,98,257,34,1102,1106,11,35,258,49,248,450,1301,200,570,98,130,277,148,228
"Thursday, 25 July 2019",11,333,352,283,405,92,,26,718,481,89,,87,36,179,507,309,21,375,17,646,265,30,832,1199,679,90,188,41,955,903,3,28,241,42,196,393,1191,215,600,105,97,270,164,191
"Friday, 26 July 2019",5,263,253,184,314,84,,20,592,441,100,,92,26,161,454,226,20,338,1,562,257,16,659,975,467,81,88,51,771,773,12,24,226,31,170,369,1045,157,432,70,48,241,122,167
"Saturday, 27 July 2019",10,126,96,286,159,132,,29,244,221,43,,51,24,61,260,294,8,381,40,341,509,30,319,606,599,132,474,61,649,531,10,23,125,27,206,179,1044,137,555,160,217,136,90,250
"Sunday, 28 July 2019",16,228,85,343,147,105,,73,226,320,24,,63,25,62,249,354,22,345,26,353,609,13,269,620,806,66,677,35,788,613,17,26,131,39,256,128,1212,114,673,196,319,107,78,437
"Monday, 29 July 2019",6,382,322,234,442,93,,36,704,535,110,,75,36,203,573,268,13,393,15,809,308,22,864,1401,706,117,208,41,1025,1241,9,30,274,48,208,422,1167,248,522,68,73,290,156,201
"Tuesday, 30 July 2019",36,299,350,223,421,105,,34,718,535,119,,78,36,183,555,282,16,307,2,697,241,18,787,1189,615,89,216,32,997,1276,6,25,245,42,160,389,1179,193,540,69,82,252,131,178
"Wednesday, 31 July 2019",17,280,297,175,335,100,,28,637,447,112,,60,39,144,479,401,16,399,4,623,233,23,778,1083,567,78,218,54,855,1107,7,28,200,34,144,335,1022,182,436,52,60,246,146,145
"Thursday, 1 August 2019",6,292,306,181,393,86,,28,630,420,103,,70,36,172,476,282,10,305,7,672,183,24,800,1040,555,84,190,41,886,1175,6,35,186,39,154,353,1052,166,418,65,93,267,120,158
"Friday, 2 August 2019",1,230,244,137,261,80,,44,489,315,95,,67,26,158,342,260,14,331,6,480,129,20,592,762,402,64,142,44,663,995,6,15,136,32,91,268,926,123,352,32,44,233,82,101
"Saturday, 3 August 2019",11,80,50,82,72,122,,13,110,98,36,,52,27,61,132,108,5,116,9,222,122,19,130,196,147,65,96,32,229,310,2,11,47,14,77,107,400,35,178,18,51,80,48,58
"Sunday, 4 August 2019",13,57,30,96,54,105,,21,88,76,26,,49,25,31,82,116,6,127,9,133,129,10,72,152,176,42,91,30,259,221,6,14,30,6,60,61,404,26,154,43,79,63,38,62
"Monday, 5 August 2019",3,204,205,88,246,90,,17,412,309,92,,56,36,129,310,164,13,170,0,475,92,12,579,677,323,61,82,35,613,734,2,23,131,12,72,232,681,106,273,25,31,175,68,69
"Tuesday, 6 August 2019",12,286,332,226,378,104,,26,651,516,119,,60,36,169,474,252,14,334,10,754,172,26,853,1162,644,74,216,53,1007,1091,4,32,225,29,128,345,1160,180,491,75,87,246,122,168
"Wednesday, 7 August 2019",6,297,325,227,370,102,,40,649,495,103,,79,39,189,511,392,34,406,7,750,299,21,891,1182,590,76,224,46,1005,1308,12,27,249,64,163,350,1031,200,499,68,93,237,133,196
"Thursday, 8 August 2019",4,214,196,119,279,90,,6,408,343,105,,58,35,143,304,298,17,190,0,462,170,37,627,767,363,62,109,52,561,772,11,32,125,21,109,246,557,119,283,39,40,182,94,114
"Friday, 9 August 2019",4,203,164,98,209,52,,9,349,272,98,,78,26,125,252,207,12,182,4,360,132,12,475,603,331,40,140,40,461,686,7,22,128,14,52,207,511,107,218,33,33,162,77,69
"Saturday, 10 August 2019",13,157,83,251,130,108,,31,206,227,38,,64,30,51,246,207,6,255,36,247,480,25,210,444,513,50,332,35,556,637,5,23,122,33,162,127,690,96,405,82,355,126,65,208
"Sunday, 11 August 2019",24,124,70,257,98,78,,51,149,221,36,,46,25,45,155,198,16,216,25,163,262,17,147,318,423,34,341,39,487,534,4,17,91,19,177,106,773,68,346,105,171,75,73,161
"Monday, 12 August 2019",10,231,262,130,334,78,,19,496,372,110,,55,36,140,369,227,14,203,2,592,160,18,631,850,392,73,26,35,717,872,5,14,157,18,112,274,644,135,338,25,39,191,102,107
"Tuesday, 13 August 2019",7,275,273,205,346,92,,27,592,481,83,,65,36,160,457,249,11,318,2,656,181,18,725,1029,511,89,234,53,823,1069,6,21,208,24,117,337,804,167,439,47,57,230,118,152
"Wednesday, 14 August 2019",1,303,342,176,387,93,,22,651,487,100,,62,39,187,490,281,16,396,4,668,225,19,787,1070,567,91,246,47,889,1195,16,13,202,22,162,343,803,175,411,58,77,296,102,178
"Thursday, 15 August 2019",9,301,336,224,392,109,,26,667,480,116,,98,35,169,472,297,16,385,10,680,260,27,808,1117,588,112,253,31,919,1248,15,32,207,36,191,333,893,170,503,88,118,301,135,192
"Friday, 16 August 2019",3,260,267,198,337,107,,23,564,436,99,,71,26,134,460,253,17,383,11,635,188,22,706,994,507,111,224,45,860,1249,10,29,196,36,154,271,879,148,449,39,81,297,134,172
"Saturday, 17 August 2019",12,61,90,209,136,143,,73,222,179,49,,63,27,61,190,372,23,342,38,272,530,33,243,457,542,58,384,51,622,836,10,37,116,45,216,131,714,82,398,105,280,140,71,262
"Sunday, 18 August 2019",14,70,30,65,54,41,,11,111,96,19,,54,27,29,109,83,11,101,9,63,111,9,71,145,198,27,57,22,205,287,3,3,35,10,85,57,314,17,106,32,73,75,42,81
"Monday, 19 August 2019",9,331,315,201,435,99,,34,636,545,107,,89,36,192,504,309,23,360,7,796,250,20,883,1313,789,113,275,41,1007,1298,7,27,258,41,190,366,950,224,484,107,105,262,104,237
"Tuesday, 20 August 2019",4,300,301,162,333,91,,,575,459,94,,69,36,190,415,310,15,310,16,646,180,6,731,1139,603,77,221,32,807,1074,7,26,217,37,125,309,826,172,414,62,86,234,105,170
"Wednesday, 21 August 2019",3,262,275,146,353,73,,,558,380,91,,65,39,168,433,254,12,307,9,610,184,18,736,983,469,95,197,39,752,1109,10,22,197,28,142,296,700,139,406,45,80,237,127,152
"Thursday, 22 August 2019",1,199,206,124,282,48,,,438,316,102,,59,35,135,326,178,10,168,0,433,96,13,536,713,294,64,153,45,548,887,4,19,164,14,80,228,530,111,281,33,40,217,112,77
"Friday, 23 August 2019",1,162,204,97,223,34,,1,425,269,91,,67,26,116,287,182,9,239,2,433,99,20,511,712,301,64,130,30,519,852,3,19,163,23,64,182,542,108,307,19,30,199,91,91
"Saturday, 24 August 2019",13,109,76,250,154,119,,48,213,253,49,,60,27,46,243,297,3,293,21,245,422,38,210,497,548,118,352,50,563,933,13,18,83,26,187,130,668,56,497,64,242,117,109,176
"Sunday, 25 August 2019",15,157,85,283,97,101,,25,202,229,24,,48,27,42,199,276,13,250,28,231,311,13,221,482,519,89,341,29,551,656,5,14,98,20,152,95,640,68,383,154,210,102,69,241
"Monday, 26 August 2019",1,285,287,137,340,83,,22,598,460,109,,68,36,165,439,223,24,310,4,711,177,22,785,1131,553,112,174,39,838,1175,4,22,216,29,133,295,770,181,387,70,71,243,106,183
"Tuesday, 27 August 2019",10,331,348,239,436,142,,38,782,575,102,,78,36,187,570,299,30,384,14,858,256,24,912,1398,755,112,264,39,963,1328,8,29,256,34,215,344,983,201,488,93,164,298,134,231
"Wednesday, 28 August 2019",4,329,327,251,447,103,,22,750,586,109,,66,39,199,528,291,27,435,6,813,336,25,974,1382,773,118,299,52,1086,1488,8,41,242,34,244,324,949,218,593,74,113,322,175,250
"Thursday, 29 August 2019",3,342,338,255,413,102,,37,650,552,120,,81,35,171,497,306,22,351,8,733,230,23,838,1238,710,123,262,37,988,1413,8,39,240,28,206,314,932,220,530,71,126,272,143,243
"Friday, 30 August 2019",6,256,255,193,317,105,,40,606,462,108,,98,26,147,449,269,33,393,2,658,220,31,743,1067,611,122,170,55,837,1335,6,25,201,31,133,252,895,167,486,87,75,285,133,153
"Saturday, 31 August 2019",10,11,85,266,139,129,,74,249,218,57,,60,27,48,318,260,13,362,23,281,508,48,240,532,620,134,389,74,630,1038,6,29,107,29,204,131,813,115,506,135,310,124,71,219
